Timestamp,Position_N,Position_E,Position_D,Velocity_N,Velocity_E,Velocity_D,Attitude_Roll,Attitude_Pitch,Attitude_Yaw,Motor_RPMs
1747351081.8484251,0.20400001108646393,47.397970799999996,8.5461635,-0.029999999329447746,0.009999999776482582,-0.5099999904632568,0.6479449272155762,-0.5237689018249512,82.93913269042969,0
1747351081.9490888,0.21900001168251038,47.397970799999996,8.5461635,-0.03999999910593033,0.009999999776482582,-0.5399999618530273,0.6669769883155823,-0.5292912125587463,81.92913818359375,0
1747351082.049786,0.23000000417232513,47.397970799999996,8.5461635,-0.03999999910593033,0.009999999776482582,-0.5699999928474426,0.6764379739761353,-0.5315471887588501,81.2205810546875,0
1747351082.1505654,0.2460000067949295,47.397970699999995,8.5461636,-0.03999999910593033,0.019999999552965164,-0.6200000047683716,0.6865867376327515,-0.5327459573745728,80.10514831542969,0
1747351082.2513177,0.2580000162124634,47.397970699999995,8.5461636,-0.03999999910593033,0.019999999552965164,-0.6599999666213989,0.6914641857147217,-0.5324403047561646,79.32704162597656,0
1747351082.3521085,0.2770000100135803,47.397970699999995,8.5461636,-0.03999999910593033,0.019999999552965164,-0.7299999594688416,0.6961048245429993,-0.5297811627388,78.10687255859375,0
1747351082.452911,0.29100000858306885,47.397970699999995,8.5461636,-0.03999999910593033,0.019999999552965164,-0.7799999713897705,0.6973867416381836,-0.5267113447189331,77.25827026367188,0
1747351082.5535476,0.3140000104904175,47.397970699999995,8.5461636,-0.03999999910593033,0.019999999552965164,-0.85999995470047,0.6962169408798218,-0.5202504396438599,75.93276977539062,0
1747351082.6542382,0.33000001311302185,47.397970699999995,8.5461637,-0.029999999329447746,0.019999999552965164,-0.9099999666213989,0.693575918674469,-0.5152043700218201,75.01354217529297,0
1747351082.7553713,0.35600000619888306,47.397970699999995,8.5461637,-0.029999999329447746,0.029999999329447746,-0.9899999499320984,0.6869611740112305,-0.506087601184845,73.58202362060547,0
1747351082.8560214,0.3750000298023224,47.397970699999995,8.5461637,-0.029999999329447746,0.029999999329447746,-1.0399999618530273,0.6811420321464539,-0.498798668384552,72.592529296875,0
1747351082.9569561,0.4050000309944153,47.397970699999995,8.5461637,-0.029999999329447746,0.029999999329447746,-1.1100000143051147,0.6709966063499451,-0.48636478185653687,71.04997253417969,0
1747351083.0576377,0.42600002884864807,47.397970699999995,8.5461637,-0.029999999329447746,0.029999999329447746,-1.159999966621399,0.663378119468689,-0.47741472721099854,69.98451232910156,0
1747351083.1583674,0.45900002121925354,47.3979706,8.5461638,-0.029999999329447746,0.029999999329447746,-1.2200000286102295,0.6502698063850403,-0.46337538957595825,68.33364868164062,0
1747351083.2589679,0.4820000231266022,47.3979706,8.5461638,-0.029999999329447746,0.029999999329447746,-1.2599999904632568,0.6402761340141296,-0.4536604881286621,67.19816589355469,0
1747351083.3594234,0.5180000066757202,47.3979706,8.5461638,-0.029999999329447746,0.029999999329447746,-1.3199999332427979,0.6234552264213562,-0.43848446011543274,65.44466400146484,0
1747351083.460064,0.5430000424385071,47.3979706,8.5461638,-0.029999999329447746,0.029999999329447746,-1.350000023841858,0.611219048500061,-0.4280160069465637,64.24352264404297,0
